10	250
20	281
30	312
40	342
50	370
60	396
70	421
80	442
90	461
100	476
110	487
120	495
130	499
140	499
150	495
160	487
170	476
180	461
190	442
200	421
210	396
220	370
230	342
240	312
250	281
260	250
270	218
280	187
290	157
300	129
310	103
320	78
330	57
340	38
350	23
360	12
370	4
380	0
390	0
400	4
410	12
420	23
430	38
440	57
450	78
460	103
470	129
480	157
490	187
500	218
510	249
520	281
530	312
540	342
550	370
560	396
570	421
580	442
590	461
600	476
610	487
620	495
630	499
640	499
650	495
660	487
670	476
680	461
690	442
700	421
710	396
720	370
730	342
740	312
750	281
760	250
770	218
780	187
790	157
800	129
810	103
820	78
830	57
840	38
850	23
860	12
870	4
880	0
890	0
900	4
910	12
920	23
930	38
940	57
950	78
960	103
970	129
980	157
990	187
1000	218
